year,team0,team1,region,round,winner,pts_team0,ptspg_team0,fgm_team0,fga_team0,fgp_team0,3pm_team0,3pa_team0,3pp_team0,ftm_team0,fta_team0,ftp_team0,orb_team0,orbpg_team0,drb_team0,drbpg_team0,reb_team0,rebpg_team0,ast_team0,astpg_team0,stl_team0,stlpg_team0,blk_team0,blkpg_team0,tov_team0,tovpg_team0,pf_team0,pfpg_team0,seed_team0,wins_team0,losses_team0,winp_team0,cwins_team0,closses_team0,cwinp_team0,pts_team1,ptspg_team1,fgm_team1,fga_team1,fgp_team1,3pm_team1,3pa_team1,3pp_team1,ftm_team1,fta_team1,ftp_team1,orb_team1,orbpg_team1,drb_team1,drbpg_team1,reb_team1,rebpg_team1,ast_team1,astpg_team1,stl_team1,stlpg_team1,blk_team1,blkpg_team1,tov_team1,tovpg_team1,pf_team1,pfpg_team1,seed_team1,wins_team1,losses_team1,winp_team1,cwins_team1,closses_team1,cwinp_team1,pts_diff,ptspg_diff,fgm_diff,fga_diff,fgp_diff,3pm_diff,3pa_diff,3pp_diff,ftm_diff,fta_diff,ftp_diff,orb_diff,orbpg_diff,drb_diff,drbpg_diff,reb_diff,rebpg_diff,ast_diff,astpg_diff,stl_diff,stlpg_diff,blk_diff,blkpg_diff,tov_diff,tovpg_diff,pf_diff,pfpg_diff,seed_diff,wins_diff,losses_diff,winp_diff,cwins_diff,closses_diff,cwinp_diff
2003,Texas Southern,UNC Asheville,none,0,1,2184.0,72.8,742.0,1657.0,0.448,178.0,554.0,0.321,522.0,843.0,0.619,359.0,11.967,708.0,23.6,1067.0,35.567,426.0,14.2,192.0,6.4,69.0,2.3,454.0,15.133,549.0,18.3,16.0,17.0,13.0,0.567,11.0,7.0,0.611,2167.0,72.233,746.0,1714.0,0.435,196.0,535.0,0.366,479.0,627.0,0.764,337.0,11.233,685.0,22.833,1022.0,34.067,406.0,13.533,216.0,7.2,93.0,3.1,484.0,16.133,577.0,19.233,16.0,15.0,15.0,0.5,8.0,8.0,0.5,17.0,0.5669999999999931,-4.0,-57.0,0.013000000000000012,-18.0,19.0,-0.044999999999999984,43.0,216.0,-0.14500000000000002,22.0,0.734,23.0,0.767000000000003,45.0,1.5,20.0,0.6669999999999998,-24.0,-0.7999999999999998,-24.0,-0.8000000000000003,-30.0,-1.0,-28.0,-0.9329999999999998,0.0,2.0,-2.0,0.06699999999999995,3.0,-1.0,0.11099999999999999
2003,Kentucky,IU Indy,Midwest Regional,1,0,2481.0,77.531,911.0,1868.0,0.488,189.0,531.0,0.356,470.0,665.0,0.707,380.0,11.875,720.0,22.5,1101.0,34.406,519.0,16.219,248.0,7.75,166.0,5.188,447.0,13.969,557.0,17.406,1.0,27.0,5.0,0.844,16.0,0.0,1.0,2359.0,71.485,811.0,1794.0,0.452,211.0,610.0,0.346,526.0,751.0,0.7,342.0,10.364,665.0,20.152,1006.0,30.485,440.0,13.333,282.0,8.545,60.0,1.818,518.0,15.697,641.0,19.424,16.0,20.0,13.0,0.606,10.0,4.0,0.714,122.0,6.0460000000000065,100.0,74.0,0.035999999999999976,-22.0,-79.0,0.010000000000000009,-56.0,-86.0,0.007000000000000006,38.0,1.5109999999999992,55.0,2.347999999999999,95.0,3.9209999999999994,79.0,2.886000000000001,-34.0,-0.7949999999999999,106.0,3.3699999999999997,-71.0,-1.7279999999999998,-84.0,-2.0180000000000007,-15.0,7.0,-8.0,0.238,6.0,-4.0,0.28600000000000003
2003,Oregon,Utah,Midwest Regional,1,1,2631.0,82.219,915.0,1984.0,0.461,288.0,736.0,0.391,513.0,661.0,0.776,329.0,10.281,732.0,22.875,1061.0,33.156,559.0,17.469,257.0,8.031,89.0,2.781,484.0,15.125,671.0,20.969,8.0,22.0,10.0,0.688,10.0,8.0,0.556,2077.0,67.0,720.0,1570.0,0.459,223.0,583.0,0.383,414.0,586.0,0.706,268.0,8.645,684.0,22.065,951.0,30.677,411.0,13.258,149.0,4.806,118.0,3.806,384.0,12.387,618.0,19.935,9.0,25.0,6.0,0.806,11.0,3.0,0.786,554.0,15.218999999999994,195.0,414.0,0.0020000000000000018,65.0,153.0,0.008000000000000007,99.0,75.0,0.07000000000000006,61.0,1.636000000000001,48.0,0.8099999999999987,110.0,2.478999999999999,148.0,4.211000000000002,108.0,3.2250000000000005,-29.0,-1.025,100.0,2.7379999999999995,53.0,1.0340000000000025,-1.0,-3.0,4.0,-0.1180000000000001,-1.0,5.0,-0.22999999999999998
2003,Wisconsin,Weber State,Midwest Regional,1,0,2051.0,70.724,726.0,1573.0,0.462,181.0,504.0,0.359,418.0,564.0,0.741,273.0,9.414,624.0,21.517,897.0,30.931,385.0,13.276,203.0,7.0,82.0,2.828,303.0,10.448,430.0,14.828,5.0,22.0,7.0,0.759,12.0,4.0,0.75,2311.0,74.548,771.0,1639.0,0.47,182.0,552.0,0.33,587.0,790.0,0.743,311.0,10.032,681.0,21.968,992.0,32.0,440.0,14.194,207.0,6.677,24.0,0.774,391.0,12.613,581.0,18.742,12.0,26.0,5.0,0.839,14.0,0.0,1.0,-260.0,-3.823999999999998,-45.0,-66.0,-0.007999999999999952,-1.0,-48.0,0.02899999999999997,-169.0,-226.0,-0.0020000000000000018,-38.0,-0.6180000000000003,-57.0,-0.4510000000000005,-95.0,-1.068999999999999,-55.0,-0.918000000000001,-4.0,0.3230000000000004,58.0,2.054,-88.0,-2.164999999999999,-151.0,-3.9140000000000015,-7.0,-4.0,2.0,-0.07999999999999996,-2.0,4.0,-0.25
2003,Dayton,Tulsa,Midwest Regional,1,1,2111.0,72.793,710.0,1572.0,0.452,218.0,605.0,0.36,473.0,661.0,0.716,359.0,12.379,650.0,22.414,1009.0,34.793,441.0,15.207,156.0,5.379,85.0,2.931,378.0,13.034,510.0,17.586,4.0,23.0,6.0,0.793,13.0,2.0,0.867,2279.0,73.516,818.0,1768.0,0.463,206.0,568.0,0.363,437.0,601.0,0.727,317.0,10.226,789.0,25.452,1107.0,35.71,458.0,14.774,235.0,7.581,155.0,5.0,443.0,14.29,536.0,17.29,13.0,23.0,8.0,0.742,12.0,6.0,0.667,-168.0,-0.722999999999999,-108.0,-196.0,-0.01100000000000001,12.0,37.0,-0.0030000000000000027,36.0,60.0,-0.01100000000000001,42.0,2.1529999999999987,-139.0,-3.0380000000000003,-98.0,-0.9170000000000016,-17.0,0.4330000000000016,-79.0,-2.202000000000001,-70.0,-2.069,-65.0,-1.2559999999999985,-26.0,0.2959999999999994,-9.0,0.0,-2.0,0.051000000000000045,1.0,-4.0,0.19999999999999996
2003,Missouri,Southern Illinois,Midwest Regional,1,0,2223.0,71.71,810.0,1834.0,0.442,232.0,650.0,0.357,371.0,563.0,0.659,390.0,12.581,754.0,24.323,1144.0,36.903,426.0,13.742,177.0,5.71,134.0,4.323,416.0,13.419,523.0,16.871,6.0,21.0,10.0,0.677,9.0,7.0,0.562,2236.0,74.533,821.0,1736.0,0.473,183.0,474.0,0.386,411.0,582.0,0.706,294.0,9.8,640.0,21.333,934.0,31.133,407.0,13.567,239.0,7.967,96.0,3.2,375.0,12.5,580.0,19.333,11.0,24.0,6.0,0.8,16.0,2.0,0.889,-13.0,-2.8230000000000075,-11.0,98.0,-0.030999999999999972,49.0,176.0,-0.029000000000000026,-40.0,-19.0,-0.04699999999999993,96.0,2.780999999999999,114.0,2.990000000000002,210.0,5.77,19.0,0.1750000000000007,-62.0,-2.2569999999999997,38.0,1.1230000000000002,41.0,0.9190000000000005,-57.0,-2.4619999999999997,-5.0,-3.0,4.0,-0.123,-7.0,5.0,-0.32699999999999996
2003,Marquette,Holy Cross,Midwest Regional,1,0,2195.0,78.393,762.0,1575.0,0.484,162.0,427.0,0.379,509.0,661.0,0.77,337.0,12.036,643.0,22.964,980.0,35.0,457.0,16.321,168.0,6.0,103.0,3.679,370.0,13.214,521.0,18.607,3.0,25.0,3.0,0.893,14.0,2.0,0.875,2112.0,70.4,735.0,1589.0,0.463,165.0,454.0,0.363,477.0,670.0,0.712,328.0,10.933,695.0,23.167,1023.0,34.1,474.0,15.8,242.0,8.067,138.0,4.6,404.0,13.467,557.0,18.567,14.0,26.0,4.0,0.867,13.0,1.0,0.929,83.0,7.992999999999995,27.0,-14.0,0.020999999999999963,-3.0,-27.0,0.016000000000000014,32.0,-9.0,0.05800000000000005,9.0,1.1029999999999998,-52.0,-0.20300000000000296,-43.0,0.8999999999999986,-17.0,0.5210000000000008,-74.0,-2.067,-35.0,-0.9209999999999998,-34.0,-0.2530000000000001,-36.0,0.03999999999999915,-11.0,-1.0,-1.0,0.026000000000000023,1.0,1.0,-0.05400000000000005
2003,Indiana,Alabama,Midwest Regional,1,0,2257.0,70.531,750.0,1757.0,0.427,238.0,692.0,0.344,516.0,724.0,0.713,322.0,10.062,787.0,24.594,1108.0,34.625,442.0,13.812,142.0,4.438,171.0,5.344,359.0,11.219,578.0,18.062,7.0,20.0,12.0,0.625,8.0,8.0,0.5,1940.0,69.286,673.0,1601.0,0.42,179.0,555.0,0.323,413.0,586.0,0.705,345.0,12.321,623.0,22.25,968.0,34.571,339.0,12.107,185.0,6.607,108.0,3.857,366.0,13.071,501.0,17.893,10.0,17.0,11.0,0.607,7.0,9.0,0.438,317.0,1.2450000000000045,77.0,156.0,0.007000000000000006,59.0,137.0,0.020999999999999963,103.0,138.0,0.008000000000000007,-23.0,-2.2590000000000003,164.0,2.344000000000001,140.0,0.054000000000002046,103.0,1.705,-43.0,-2.1690000000000005,63.0,1.487,-7.0,-1.8520000000000003,77.0,0.16900000000000048,-3.0,3.0,1.0,0.018000000000000016,1.0,-1.0,0.062
2003,Pittsburgh,Wagner,Midwest Regional,1,0,2238.0,74.6,806.0,1605.0,0.502,190.0,543.0,0.35,434.0,683.0,0.635,306.0,10.2,704.0,23.467,1011.0,33.7,530.0,17.667,242.0,8.067,123.0,4.1,445.0,14.833,539.0,17.967,2.0,25.0,5.0,0.833,13.0,3.0,0.812,2342.0,75.548,844.0,1788.0,0.472,218.0,559.0,0.39,436.0,598.0,0.729,352.0,11.355,667.0,21.516,1018.0,32.839,499.0,16.097,232.0,7.484,87.0,2.806,456.0,14.71,544.0,17.548,15.0,21.0,10.0,0.677,14.0,4.0,0.778,-104.0,-0.9480000000000075,-38.0,-183.0,0.030000000000000027,-28.0,-16.0,-0.040000000000000036,-2.0,85.0,-0.09399999999999997,-46.0,-1.1550000000000011,37.0,1.9510000000000005,-7.0,0.8610000000000042,31.0,1.5700000000000003,10.0,0.5830000000000002,36.0,1.2939999999999996,-11.0,0.12299999999999933,-5.0,0.4190000000000005,-13.0,4.0,-5.0,0.15599999999999992,-1.0,-1.0,0.03400000000000003
2003,Kentucky,Utah,Midwest Regional,2,0,2481.0,77.531,911.0,1868.0,0.488,189.0,531.0,0.356,470.0,665.0,0.707,380.0,11.875,720.0,22.5,1101.0,34.406,519.0,16.219,248.0,7.75,166.0,5.188,447.0,13.969,557.0,17.406,1.0,27.0,5.0,0.844,16.0,0.0,1.0,2077.0,67.0,720.0,1570.0,0.459,223.0,583.0,0.383,414.0,586.0,0.706,268.0,8.645,684.0,22.065,951.0,30.677,411.0,13.258,149.0,4.806,118.0,3.806,384.0,12.387,618.0,19.935,9.0,25.0,6.0,0.806,11.0,3.0,0.786,404.0,10.531000000000006,191.0,298.0,0.02899999999999997,-34.0,-52.0,-0.027000000000000024,56.0,79.0,0.0010000000000000009,112.0,3.2300000000000004,36.0,0.4349999999999987,150.0,3.728999999999999,108.0,2.961000000000002,99.0,2.944,48.0,1.3819999999999997,63.0,1.581999999999999,-61.0,-2.529,-8.0,2.0,-1.0,0.03799999999999992,5.0,-3.0,0.21399999999999997
