year,team,seed,wins,losses,cwins,closses
2005,North Carolina,1,27,4,14,2
2005,Illinois,1,32,1,15,1
2005,Duke,1,24,6,11,5
2005,Washington,1,26,6,14,4
2005,UConn,2,23,8,13,3
2005,Oklahoma State,2,26,7,11,5
2005,Kentucky,2,28,6,14,2
2005,Wake Forest,2,27,6,13,3
2005,Kansas,3,23,7,12,4
2005,Arizona,3,30,7,15,3
2005,Oklahoma,3,25,8,12,4
2005,Gonzaga,3,26,5,12,2
2005,Florida,4,24,8,12,4
2005,Boston College,4,25,5,13,3
2005,Syracuse,4,27,7,11,5
2005,Louisville,4,33,5,14,2
2005,Villanova,5,24,8,11,5
2005,Alabama,5,24,8,12,4
2005,Michigan State,5,26,7,13,3
2005,Georgia Tech,5,20,12,8,8
2005,Wisconsin,6,25,9,11,5
2005,LSU,6,20,10,12,4
2005,Utah,6,29,6,13,1
2005,Texas Tech,6,22,11,10,6
2005,Charlotte,7,21,8,12,4
2005,Southern Illinois,7,27,8,15,3
2005,Cincinnati,7,25,8,12,4
2005,West Virginia,7,24,11,8,8
2005,Minnesota,8,21,11,10,6
2005,Texas,8,20,11,9,7
2005,Stanford,8,18,13,11,7
2005,Pacific,8,27,4,18,0
2005,Iowa State,9,19,12,9,7
2005,Nevada,9,25,7,16,2
2005,Mississippi State,9,23,11,9,7
2005,Pittsburgh,9,20,9,10,6
2005,NC State,10,21,14,7,9
2005,Saint Mary's,10,25,9,11,3
2005,Iowa,10,21,12,7,9
2005,Creighton,10,22,12,10,8
2005,Northern Iowa,11,21,11,11,7
2005,UAB,11,22,11,10,6
2005,UTEP,11,27,8,14,4
2005,UCLA,11,18,11,11,7
2005,New Mexico,12,26,7,10,4
2005,Milwaukee,12,26,6,14,2
2005,Old Dominion,12,28,6,15,3
2005,George Washington,12,22,8,11,5
2005,Ohio,13,21,11,11,7
2005,Pennsylvania ,13,20,9,13,1
2005,Vermont,13,25,7,16,2
2005,Louisiana,13,20,11,11,4
2005,Bucknell,14,23,10,10,4
2005,Utah State,14,24,8,13,5
2005,Niagara,14,20,10,13,5
2005,Winthrop,14,27,5,15,1
2005,UCF,15,24,9,13,7
2005,Southeastern Louisiana,15,24,9,13,3
2005,Eastern Kentucky,15,22,9,11,5
2005,Chattanooga,15,20,11,10,6
2005,Alabama A&M ,16,18,14,12,6
2005,Oakland,16,13,19,7,9
2005,Fairleigh Dickinson,16,20,13,13,5
2005,Delaware State,16,19,14,14,4
2005,Montana,16,18,13,9,5
