year,team,pts,fgm,fga,3pm,3pa,ftm,fta,orb,drb,reb,ast,stl,blk,tov,pf
2003,Kansas,3141,1182,2393,183,546,594,906,509,996,1504,653,373,192,556,630
2003,Syracuse,2785,1020,2149,186,540,559,806,440,878,1318,523,298,246,487,591
2003,Kentucky,2782,1026,2101,208,585,522,742,435,805,1240,575,279,179,498,626
2003,Arizona,2725,975,2112,228,647,551,777,454,875,1329,568,277,136,466,559
2003,Notre Dame,2692,917,2055,283,735,575,756,345,864,1208,557,248,189,444,551
2003,Oregon,2689,934,2039,291,753,530,685,342,760,1102,567,263,91,501,693
2003,Creighton,2688,972,1957,272,692,469,678,350,750,1100,574,284,154,455,593
2003,Duke,2677,897,1981,244,672,639,897,382,726,1108,444,286,178,456,696
2003,UAB,2640,969,2161,219,665,483,708,381,743,1123,512,394,101,487,716
2003,UConn,2622,964,2059,196,506,498,736,447,870,1316,505,192,249,497,599
2003,Texas,2618,916,2055,196,550,590,817,489,823,1312,478,206,121,430,676
2003,Louisville,2612,902,1948,273,748,535,767,398,785,1182,528,237,148,422,723
2003,Marquette,2589,901,1871,202,508,585,759,396,751,1146,533,198,118,426,621
2003,Georgetown,2584,889,2060,157,479,649,874,412,813,1225,525,326,209,533,745
2003,Gonzaga,2558,862,1843,239,635,595,820,361,800,1161,520,218,116,465,618
2003,Troy,2556,917,2116,312,916,416,606,449,753,1201,495,309,167,426,530
2003,Central Michigan,2553,864,1714,224,574,601,789,315,703,1018,504,236,120,573,658
2003,East Tennessee State,2543,899,1933,167,474,578,791,390,740,1129,448,354,162,551,586
2003,Texas Tech,2543,979,2092,112,357,473,713,361,761,1122,565,297,83,391,555
2003,Charleston,2532,879,2007,316,815,458,668,341,765,1106,497,265,140,473,643
2003,North Carolina,2524,901,2061,289,821,436,653,362,748,1109,555,292,163,517,600
2003,Florida,2484,882,1856,288,735,431,613,346,748,1093,542,249,131,436,559
2003,Xavier,2482,850,1887,205,569,576,773,402,771,1173,526,171,95,407,499
2003,Pittsburgh,2473,893,1766,207,582,478,747,338,771,1109,585,271,134,476,591
2003,Maryland,2472,901,1940,204,523,466,654,371,790,1161,573,322,198,427,588
2003,Milwaukee,2466,874,1855,246,693,472,682,323,689,1012,543,283,114,470,647
2003,Arizona State,2464,887,1837,131,404,559,832,376,701,1076,506,173,139,436,624
2003,Boston College,2462,869,1848,185,534,576,779,378,646,1024,521,212,89,413,583
2003,Colorado State,2450,876,1732,137,380,561,806,347,738,1084,514,181,149,548,681
2003,Chattanooga,2435,844,1748,230,611,519,683,352,681,1032,509,227,100,494,543
2003,Appalachian State,2434,844,1885,207,642,539,753,368,705,1073,457,299,138,473,533
2003,Nevada,2432,809,1859,192,549,622,872,386,774,1160,377,218,122,419,662
2003,Western Kentucky,2430,860,1863,254,694,457,692,382,742,1123,473,234,120,493,608
2003,Minnesota,2428,844,1926,238,662,505,719,383,772,1155,527,238,196,495,649
2003,Tulsa,2423,877,1884,217,591,452,619,338,839,1177,488,242,159,464,563
2003,IU Indy,2423,833,1854,215,625,542,773,357,683,1039,450,289,61,536,656
2003,Tennessee Tech ,2422,839,1742,168,468,576,798,383,767,1149,533,239,108,549,634
2003,St. John's,2418,859,2124,195,621,504,756,495,687,1181,392,327,151,428,664
2003,Wake Forest,2412,805,1778,191,560,611,813,421,801,1222,441,201,146,464,576
2003,UNLV,2411,846,1798,187,518,532,753,307,661,967,460,279,105,465,635
2003,Auburn,2408,879,1890,198,573,452,686,392,762,1153,454,268,174,538,560
2003,Colorado,2405,869,1958,159,486,508,759,422,865,1287,424,196,214,444,567
2003,Wagner,2403,865,1839,225,580,448,616,360,686,1045,512,238,89,475,564
2003,Siena,2395,808,1864,193,542,586,819,709,1042,1751,457,222,112,505,653
2003,Oklahoma,2392,853,1912,250,638,436,629,390,782,1171,482,237,123,410,619
2003,Stanford,2391,851,1924,231,649,458,677,414,786,1200,480,179,118,466,616
2003,Illinois,2388,859,1811,233,639,437,601,284,776,1059,576,227,101,415,598
2003,Missouri,2387,869,1958,252,699,397,600,416,803,1219,452,185,144,450,559
2003,Weber State,2385,800,1710,189,576,596,805,334,701,1035,449,211,24,401,601
2003,Kent State,2381,848,1741,229,582,456,648,307,703,1009,451,216,63,399,622
2003,Indiana,2376,788,1850,251,727,546,760,339,827,1165,470,146,175,383,613
2003,Michigan State,2367,813,1802,180,481,550,755,331,821,1151,478,217,119,482,698
2003,Morehead State,2355,854,1674,177,450,468,621,302,619,921,457,218,68,385,486
2003,Wyoming,2343,775,1704,159,453,634,903,325,759,1083,432,189,96,437,581
2003,Vermont,2341,860,1927,186,540,435,650,400,853,1252,487,234,103,494,539
2003,LSU,2326,851,1767,215,571,409,633,316,755,1070,515,255,132,446,520
2003,Louisiana,2326,839,1783,206,632,442,669,362,665,1027,452,251,120,460,558
2003,UNC Asheville,2320,801,1845,212,585,506,665,362,731,1093,428,230,99,507,615
2003,Eastern Illinois,2315,827,1867,202,533,459,598,337,664,1000,486,192,64,391,581
2003,Loyola (IL),2309,819,1949,196,640,474,653,398,684,1081,366,225,124,424,643
2003,Southern Illinois,2307,847,1801,191,493,422,603,306,658,963,426,245,96,388,599
2003,California,2301,847,1819,198,530,409,601,324,711,1034,487,203,87,429,531
