year,team,pts,fgm,fga,3pm,3pa,ftm,fta,orb,drb,reb,ast,stl,blk,tov,pf
2017,North Carolina,490,171,394,37,126,111,163,93,177,270,103,47,29,68,106
2017,Wyoming,482,169,355,62,158,82,110,48,175,223,90,26,21,69,99
2017,Coastal Carolina,451,167,391,34,120,83,124,77,174,251,63,53,22,78,110
2017,Gonzaga,431,147,346,45,118,92,150,69,188,257,66,29,36,75,119
2017,TCU,402,151,314,38,102,62,92,68,130,198,98,38,19,61,86
2017,South Carolina,399,136,299,32,96,95,127,63,120,183,64,37,18,52,86
2017,Oregon,387,137,288,42,107,71,99,55,133,188,56,32,22,60,70
2017,Texas A&M-CC,380,142,302,28,85,68,96,47,128,175,77,57,16,63,90
2017,Georgia Tech,352,126,280,27,78,73,105,41,128,169,89,38,30,56,66
2017,Kansas,348,125,250,39,98,59,74,41,106,147,63,28,12,36,61
2017,UMBC,316,105,220,43,115,63,75,25,117,142,66,23,7,60,49
2017,Kentucky,303,108,244,27,77,60,82,42,103,145,57,23,21,34,62
2017,Florida,299,102,226,30,91,65,87,46,93,139,47,29,17,53,67
2017,Xavier,299,105,219,28,72,61,88,36,102,138,55,19,9,43,72
2017,Cal State Bakersfield,295,95,221,38,82,67,99,42,104,146,59,20,17,55,99
2017,Texas-Arlington,266,97,200,31,90,41,56,31,76,107,60,29,8,37,66
2017,UCF,263,87,205,32,82,57,85,36,114,150,38,20,17,56,51
2017,UCLA,251,97,176,27,65,30,46,21,70,91,62,10,13,22,41
2017,Saint Peter's,247,87,193,32,87,41,67,27,102,129,54,28,17,44,54
2017,Ole Miss,242,88,192,30,80,36,45,40,80,120,49,24,9,44,54
2017,Arizona,240,86,175,15,49,53,62,30,77,107,32,14,9,24,48
2017,Campbell,235,85,175,32,81,33,43,26,78,104,45,17,15,31,47
2017,Michigan,233,82,171,33,77,36,43,17,65,82,46,12,12,18,45
2017,Wisconsin,232,80,164,26,66,46,71,37,66,103,43,16,10,38,67
2017,Butler,230,75,158,24,62,56,74,15,80,95,44,13,9,31,54
2017,Illinois-Chicago,229,80,171,28,76,41,58,35,82,117,59,22,14,58,55
2017,Utah Valley,227,82,186,28,82,35,46,34,95,129,46,17,7,43,61
2017,West Virginia,227,73,180,18,48,63,84,47,70,117,38,18,17,38,62
2017,Purdue,226,86,180,27,73,27,41,28,76,104,60,14,7,36,48
2017,Richmond,226,87,167,21,62,31,43,15,65,80,50,14,5,26,47
2017,Baylor,223,83,178,14,40,43,54,39,71,110,42,18,13,40,51
2017,USC,219,78,162,24,69,39,51,30,60,90,45,13,11,30,47
2017,Illinois,211,73,181,30,81,35,50,29,74,103,47,27,9,36,60
2017,Furman,209,76,170,26,73,31,38,23,75,98,42,23,5,38,41
2017,Liberty,207,71,151,29,76,36,46,10,59,69,42,20,1,27,59
2017,Iowa,179,69,125,26,53,15,34,24,52,76,47,11,8,33,39
2017,Texas State,178,61,147,13,58,43,60,26,81,107,44,25,19,40,56
