year,team,pts,ptspg,fgm,fga,fgp,3pm,3pa,3pp,ftm,fta,ftp,orb,orbpg,drb,drbpg,reb,rebpg,ast,astpg,stl,stlpg,blk,blkpg,tov,tovpg,pf,pfpg,seed,wins,losses,winp,cwins,closses,cwinp
2003,Kansas,2650.0,82.812,987.0,2007.0,0.492,155.0,454.0,0.341,521.0,779.0,0.669,411.0,12.844,842.0,26.312,1252.0,39.125,549.0,17.156,325.0,10.156,163.0,5.094,471.0,14.719,526.0,16.438,2.0,26.0,6.0,0.812,14.0,2.0,0.875
2003,Syracuse,2323.0,80.103,848.0,1807.0,0.469,152.0,460.0,0.33,475.0,685.0,0.693,377.0,13.0,716.0,24.69,1093.0,37.69,434.0,14.966,241.0,8.31,210.0,7.241,388.0,13.379,482.0,16.621,3.0,26.0,3.0,0.897,13.0,3.0,0.812
2003,Kentucky,2481.0,77.531,911.0,1868.0,0.488,189.0,531.0,0.356,470.0,665.0,0.707,380.0,11.875,720.0,22.5,1101.0,34.406,519.0,16.219,248.0,7.75,166.0,5.188,447.0,13.969,557.0,17.406,1.0,27.0,5.0,0.844,16.0,0.0,1.0
2003,Arizona,2386.0,85.214,851.0,1841.0,0.462,197.0,564.0,0.349,491.0,700.0,0.701,401.0,14.321,753.0,26.893,1154.0,41.214,493.0,17.607,240.0,8.571,118.0,4.214,412.0,14.714,497.0,17.75,1.0,25.0,3.0,0.893,17.0,1.0,0.944
2003,Notre Dame,2483.0,80.097,844.0,1881.0,0.449,257.0,675.0,0.381,538.0,708.0,0.76,317.0,10.226,774.0,24.968,1091.0,35.194,523.0,16.871,231.0,7.452,175.0,5.645,394.0,12.71,503.0,16.226,5.0,23.0,8.0,0.742,10.0,6.0,0.625
2003,Oregon,2631.0,82.219,915.0,1984.0,0.461,288.0,736.0,0.391,513.0,661.0,0.776,329.0,10.281,732.0,22.875,1061.0,33.156,559.0,17.469,257.0,8.031,89.0,2.781,484.0,15.125,671.0,20.969,8.0,22.0,10.0,0.688,10.0,8.0,0.556
2003,Creighton,2615.0,79.242,945.0,1897.0,0.498,265.0,675.0,0.393,457.0,661.0,0.691,335.0,10.152,733.0,22.212,1069.0,32.394,554.0,16.788,278.0,8.424,148.0,4.485,434.0,13.152,572.0,17.333,6.0,28.0,5.0,0.848,15.0,3.0,0.833
2003,Duke,2459.0,81.967,821.0,1810.0,0.454,220.0,618.0,0.356,597.0,842.0,0.709,354.0,11.8,656.0,21.867,1011.0,33.7,415.0,13.833,255.0,8.5,154.0,5.133,418.0,13.933,637.0,21.233,3.0,24.0,6.0,0.8,11.0,5.0,0.688
2003,Connecticut,2401.0,80.033,886.0,1868.0,0.474,182.0,469.0,0.388,447.0,663.0,0.674,406.0,13.533,789.0,26.3,1194.0,39.8,472.0,15.733,178.0,5.933,232.0,7.733,466.0,15.533,549.0,18.3,5.0,22.0,8.0,0.733,10.0,6.0,0.625
2003,Texas,2208.0,78.857,784.0,1748.0,0.449,164.0,470.0,0.349,476.0,665.0,0.716,417.0,14.893,696.0,24.857,1113.0,39.75,406.0,14.5,179.0,6.393,108.0,3.857,375.0,13.393,570.0,20.357,1.0,21.0,7.0,0.75,13.0,3.0,0.812
