pts,ptspg,fgm,fga,fgp,3pm,3pa,3pp,ftm,fta,ftp,orb,orbpg,drb,drbpg,reb,rebpg,ast,astpg,stl,stlpg,blk,blkpg,tov,tovpg,pf,pfpg,seed,wins,losses,winp,cwins,closses,cwinp,year,team0,team1,result
122.0,6.046,100.0,74.0,0.036,-22.0,-79.0,0.01,-56.0,-86.0,0.007,38.0,1.511,55.0,2.348,95.0,3.921,79.0,2.886,-34.0,-0.795,106.0,3.37,-71.0,-1.728,-84.0,-2.018,-15.0,7.0,-8.0,0.238,6.0,-4.0,0.286,2003.0,Kentucky,IUPUI,0.0
-122.0,-6.046,-100.0,-74.0,-0.036,22.0,79.0,-0.01,56.0,86.0,-0.007,-38.0,-1.511,-55.0,-2.348,-95.0,-3.921,-79.0,-2.886,34.0,0.795,-106.0,-3.37,71.0,1.728,84.0,2.018,15.0,-7.0,8.0,-0.238,-6.0,4.0,-0.286,2003.0,IUPUI,Kentucky,1.0
554.0,15.219,195.0,414.0,0.002,65.0,153.0,0.008,99.0,75.0,0.07,61.0,1.636,48.0,0.81,110.0,2.479,148.0,4.211,108.0,3.225,-29.0,-1.025,100.0,2.738,53.0,1.034,-1.0,-3.0,4.0,-0.118,-1.0,5.0,-0.23,2003.0,Oregon,Utah,1.0
-554.0,-15.219,-195.0,-414.0,-0.002,-65.0,-153.0,-0.008,-99.0,-75.0,-0.07,-61.0,-1.636,-48.0,-0.81,-110.0,-2.479,-148.0,-4.211,-108.0,-3.225,29.0,1.025,-100.0,-2.738,-53.0,-1.034,1.0,3.0,-4.0,0.118,1.0,-5.0,0.23,2003.0,Utah,Oregon,0.0
260.0,3.824,45.0,66.0,0.008,1.0,48.0,-0.029,169.0,226.0,0.002,38.0,0.618,57.0,0.451,95.0,1.069,55.0,0.918,4.0,-0.323,-58.0,-2.054,88.0,2.165,151.0,3.914,7.0,4.0,-2.0,0.08,2.0,-4.0,0.25,2003.0,Wisconsin,Weber State,0.0
-260.0,-3.824,-45.0,-66.0,-0.008,-1.0,-48.0,0.029,-169.0,-226.0,-0.002,-38.0,-0.618,-57.0,-0.451,-95.0,-1.069,-55.0,-0.918,-4.0,0.323,58.0,2.054,-88.0,-2.165,-151.0,-3.914,-7.0,-4.0,2.0,-0.08,-2.0,4.0,-0.25,2003.0,Weber State,Wisconsin,1.0
168.0,0.723,108.0,196.0,0.011,-12.0,-37.0,0.003,-36.0,-60.0,0.011,-42.0,-2.153,139.0,3.038,98.0,0.917,17.0,-0.433,79.0,2.202,70.0,2.069,65.0,1.256,26.0,-0.296,9.0,0.0,2.0,-0.051,-1.0,4.0,-0.2,2003.0,Dayton,Tulsa,1.0
-168.0,-0.723,-108.0,-196.0,-0.011,12.0,37.0,-0.003,36.0,60.0,-0.011,42.0,2.153,-139.0,-3.038,-98.0,-0.917,-17.0,0.433,-79.0,-2.202,-70.0,-2.069,-65.0,-1.256,-26.0,0.296,-9.0,0.0,-2.0,0.051,1.0,-4.0,0.2,2003.0,Tulsa,Dayton,0.0
-13.0,-2.823,-11.0,98.0,-0.031,49.0,176.0,-0.029,-40.0,-19.0,-0.047,96.0,2.781,114.0,2.99,210.0,5.77,19.0,0.175,-62.0,-2.257,38.0,1.123,41.0,0.919,-57.0,-2.462,-5.0,-3.0,4.0,-0.123,-7.0,5.0,-0.327,2003.0,Missouri,Southern Illinois,0.0
13.0,2.823,11.0,-98.0,0.031,-49.0,-176.0,0.029,40.0,19.0,0.047,-96.0,-2.781,-114.0,-2.99,-210.0,-5.77,-19.0,-0.175,62.0,2.257,-38.0,-1.123,-41.0,-0.919,57.0,2.462,5.0,3.0,-4.0,0.123,7.0,-5.0,0.327,2003.0,Southern Illinois,Missouri,1.0
